Table 1
Task List							
Task Name	Foreman	Assigned	Meeting	Task	Duration	Status	Dependencies
Client Business Planning Meeting 1					3		None
Client Business Planning Meeting 2					3		
Client Business Planning Meeting 3					3	Planned	
Client Business Planning Meeting 4					3	Planned	
Client Business Planning Meeting 5					3	Planned	
							
Space Review 1					3	Planned	None
Space Review 2					3	Planned	
Space Review 3					3	Planned	
Space Review 4					3	Planned	
Space Review 5					3	Planned	
							
Business Pro-Forma 1					5	Planned	None
Business Pro-Forma 2					5	Planned	
Business Pro-Forma 3					5	Planned	
							
Architectural Concept Meeting					4	Planned	None
Architectural Client Meeting One					4	Planned	
Architectural Client Meeting Two					4	Planned	
Architectural Client Meeting Three					4	Planned	
Design Concept Client Meeting One					4	Planned	
Design Concept Client Meeting Two					4	Planned	
Design Concept Client Meeting Three					4	Planned	
Submission of Architectural Drawings 					8	Planned	
							
Brand Meeting With Clients						Planned	
Attain Sign & Window Decal Quote						Planned	
Signage Installation						Planned	
							
Create Full Schedule Of Materials List To Order						Planned	
Meeting with Clients On Material List						Planned	
Sign Off On Materials List						Planned	
Purchase All Materials 						Planned	
							
Payment of City Permit Fee’s					1	Planned	None
Approved Permit Application					1	Planned	
							
Demolition Of Space						Planned	None
Order Construction Bin One					0.5	Planned	
Order Construction Bin Two					0.5	Planned	
Order Construction Bin Three					0.5	Planned	
Order Construction Bin Four					0.5	Planned	
Order Construction Bin Five					0.5	Planned	
							
Pick Up Construction Bin					0.5	Planned	
Pick Up Construction Bin					0.5	Planned	
Pick Up Construction Bin					0.5	Planned	
Pick Up Construction Bin					0.5	Planned	
Pick Up Construction Bin					0.5	Planned	
							
Order Concrete Bin					0.5	Planned	
Pick Up Concrete Bin					0.5	Planned	
Order Dirt Bin					0.5	Planned	
Pick Up Dirt Bin					0.5	Planned	
							
Order Storage Bin					0.5	Planned	
Pick Up Storage Bin					0.5	Planned	
							
Create The Network Plan						Planned	None
Client To Sign Off On Network Plan						Planned	
Schedule Installation of Network Lines						Planned	
Install Network Lines						Planned	
							
Roofing Flashing Site Visit						Planned	
Schedule Roofing Flashing						Planned	
Roofing Flashing						Planned	
							
Schedule Initial HVAC Pre-Start Site Visit & Inspection					0.5	Planned	None
HVAC Pre-Inspection					4	Planned	
Schedule HVAC Rough In					0.5	Planned	
HVAC Rough In						Planned	
Schedule HVAC Rough-In Inspections					0.5	Planned	
HVAC Rough In Inspection					6	Planned	
Schedule HVAC Finish					0.5	Planned	
HAVAC Finish						Planned	
Schedule HVAC Final Inspections					0.5	Planned	
HVAC Final Inspection					6	Planned	
							
"Schedule Concrete Coring, Cutting & Removal"					0.5	Planned	None
"Concrete Coring, Cutting Site Visit"					4	Planned	
"Concrete Coring, Cutting & Removal"						Planned	
Schedule Concrete Re-Fill					0.5	Planned	
Concrete Re-Fill						Planned	
							
Schedule Initial Plumbing Pre-Start Site Visit & Inspection					4	Planned	None
Plumbing Marking & Cut Lines						Planned	
Schedule Plumbing Underground Rough In					0.5	Planned	
Plumbing Underground Rough In						Planned	
Schedule Plumbing Underground Rough-In Inspections					6	Planned	
Schedule Backfill of Underground Rough-In					0.5	Planned	
Backfill Trenches						Planned	
							
Schedule Plumbing Above Ground Rough In					0.5	Planned	
Plumbing Above Ground Rough In						Planned	
Schedule Plumbing Above Ground Rough-In Inspections					6	Planned	
Schedule Final Plumbing Work Pre-Start Meeting					0.5	Planned	
Final Plumbing Site Visit					4	Planned	
Finish Plumbing Fixtures						Planned	
Schedule Plumbing Final					0.5	Planned	
Plumbing Final inspections						Planned	
							
Schedule Sprinkler System Review Meeting(s)					1	Planned	None
Sprinkler System Review Meeting(s)					4	Planned	
Get Sprinkler Quote(s)					2	Planned	
Schedule Sprinkler Rough In					0.5	Planned	
